sample_id,study_area,var_baseline,var_ENSO,var_year_to_year,var_combined,var_spatial,var_temporal
45,SA1,2.7306086556103993e-4,2.730701727215858e-4,2.730395101218229e-4,2.730486921477647e-4,2.7306086556103993e-4,-1.2173413275248096e-8
46,SA1,3.120439383139988e-4,3.1210254502307705e-4,3.119879881949752e-4,3.1204572896111787e-4,3.120439383139988e-4,1.7906471190803214e-9
47,SA1,3.0755460694975096e-4,3.076421534756724e-4,3.0765895987396453e-4,3.077479164581592e-4,3.0755460694975096e-4,1.9330950840821788e-7
48,SA1,3.345753742175474e-4,3.3457647381956177e-4,3.3459935919995834e-4,3.346004741892853e-4,3.345753742175474e-4,2.509997173787918e-8
49,SA1,3.2149259951152386e-4,3.215013187816292e-4,3.215374293742582e-4,3.2154581195777316e-4,3.2149259951152386e-4,5.3212446249307436e-8
50,SA1,2.736405651496081e-4,2.737432638560583e-4,2.736021218283985e-4,2.7370677647858637e-4,2.736405651496081e-4,6.62113289782518e-8
51,SA1,3.010393351919882e-4,3.0104676773567545e-4,3.0095312407970356e-4,3.009606505005413e-4,3.010393351919882e-4,-7.868469144691262e-8
52,SA1,2.765859360282657e-4,2.769612188614261e-4,2.7682046950946586e-4,2.772013585175221e-4,2.765859360282657e-4,6.1542248925645e-7
53,SA1,2.960488705875922e-4,2.960505687868542e-4,2.9610189579865563e-4,2.961037126729818e-4,2.960488705875922e-4,5.484208538962835e-8
54,SA1,3.203161356871824e-4,3.2060725135003105e-4,3.203041796616365e-4,3.2059463207821377e-4,3.203161356871824e-4,2.784963910313471e-7
55,SA1,3.107109836848618e-4,3.1074351076324804e-4,3.10791663622362e-4,3.108241479058698e-4,3.107109836848618e-4,1.1316422100798472e-7
56,SA1,2.5492791289518567e-4,2.5496955847274165e-4,2.5479635352854406e-4,2.548367429134119e-4,2.5492791289518567e-4,-9.116998177374292e-8
57,SA1,2.9252581944381334e-4,2.925309944478862e-4,2.925269377733676e-4,2.9253204919485633e-4,2.9252581944381334e-4,6.229751042992077e-9
58,SA1,2.640498018912427e-4,2.644072271324292e-4,2.640999700003617e-4,2.6445631349931574e-4,2.640498018912427e-4,4.065116080730676e-7
59,SA1,3.0724882152919025e-4,3.0732439095823707e-4,3.0738444633974024e-4,3.074590311500784e-4,3.0724882152919025e-4,2.1020962088813848e-7
60,SA1,3.293133770533107e-4,3.296306817575727e-4,3.2969386847162734e-4,3.300155937180908e-4,3.293133770533107e-4,7.022166647801327e-7
